track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Infinite Moons,0.409,0.754,0.687,0.878,0.223,-6.867,0.137,0.47,95.019
Blueberry Jam,0.432,0.714,0.387,0.797,0.132,-10.827,0.0509,0.416,90.987
Bubblegum,0.358,0.833,0.468,0.886,0.127,-7.341,0.0498,0.681,92.997
Drops,0.0416,0.539,0.773,0.49,0.43,-9.205,0.467,0.555,86.004
Sunlight,0.579,0.675,0.692,0.322,0.122,-6.766,0.241,0.522,83.037
Coffee & Unity - Jazzhop Cafe Beat,0.355,0.751,0.389,0.773,0.135,-8.744,0.278,0.887,74.912
Lofi AMV - Lo-fi Japan Beat,0.613,0.714,0.428,0.681,0.149,-12.891,0.465,0.806,165.883
Chill Beat Lofi - Jazz Hop Chill,0.815,0.704,0.267,0.864,0.113,-9.36,0.11,0.669,83.007
Smooth Piano Jazzhop - Chill Piano Beat,0.095,0.791,0.659,0.398,0.172,-7.731,0.115,0.402,79.9
Old Sad Songs - Lofi Hip Hop,0.875,0.647,0.647,0.87,0.0984,-8.154,0.0288,0.866,75.022
Lofi Jazz - Beat Instrumental,0.85,0.787,0.503,0.801,0.107,-8.858,0.151,0.21,88.084
Chill Beat Spring - Instrumental Chill,0.552,0.71,0.606,0.000608,0.523,-4.345,0.0422,0.471,85.068
Lofi Hip Hop Quarantine - Beat Instrumental,0.627,0.687,0.66,0.00162,0.129,-6.407,0.0352,0.564,84.982
Old School Beat - Lofi Hip Hop Instrumental,0.749,0.891,0.409,0.0898,0.105,-8.972,0.0983,0.275,85.056
Lofi Rap Beat - Freestyle Rap Beat Instrumental,0.219,0.664,0.415,0.892,0.0906,-11.367,0.0917,0.255,175.627
Musique LoFi,0.672,0.9,0.466,0.867,0.121,-8.874,0.096,0.649,90.045
Café Lofi,0.795,0.427,0.212,0.796,0.256,-11.537,0.0644,0.299,84.5
Triste Lofi,0.771,0.61,0.336,0.504,0.111,-7.468,0.166,0.559,179.995
Manga Lofi,0.904,0.718,0.321,0.892,0.114,-8.389,0.0383,0.178,74.986
Japonais Lofi,0.795,0.546,0.474,0.727,0.501,-12.412,0.0361,0.577,89.993
Le Jazz Lofi,0.644,0.548,0.763,0.286,0.84,-14.189,0.185,0.091,150.031
LoFi LoFi LoFi,0.772,0.717,0.58,0.718,0.36,-12.441,0.0451,0.5,115.044
Sleep For Days,0.721,0.72,0.386,0.303,0.105,-8.725,0.0553,0.65,82.009
Lullaby Sleep Beat,0.717,0.811,0.409,0.698,0.382,-9.782,0.113,0.483,79.995
Lofi Weed Smoke,0.809,0.633,0.451,0.0558,0.105,-9.939,0.117,0.694,82.003
Japanese Morning Beat,0.893,0.742,0.459,0.59,0.099,-8.189,0.044,0.653,78.011
Sad Beats & Study,0.856,0.682,0.753,0.0994,0.133,-8.484,0.0683,0.171,156.114
Rain Rain Rain,0.884,0.576,0.444,0.688,0.102,-6.698,0.0499,0.0558,125.277
Chill Jazz Beat,0.765,0.782,0.197,0.86,0.111,-15.486,0.286,0.162,80.007
Lofi Chill Out,0.527,0.703,0.265,0.949,0.11,-11.618,0.0443,0.294,74.955
Jazzhop Smoke,0.49,0.639,0.508,0.887,0.102,-5.891,0.0384,0.75,72.004
Lofi London Fog,0.558,0.597,0.201,0.771,0.107,-11.351,0.0496,0.435,80.004
Morning Chillhop - Lo-fi Sad Beat,0.972,0.657,0.108,0.651,0.109,-19.934,0.043,0.0809,68.99
November Rain - Instrumental,0.982,0.288,0.161,0.853,0.101,-17.794,0.0423,0.26,136.374
Happy Samurai - Instrumental,0.173,0.659,0.525,0.914,0.161,-9.176,0.194,0.759,156.004
Lofi Christmas Eve - Instrumental,0.888,0.764,0.479,0.58,0.121,-9.834,0.15,0.486,38.012
Summer Memories - Chill Beats,0.957,0.474,0.445,0.878,0.142,-9.948,0.0944,0.675,74.893
Fall Rain - Instrumental,0.693,0.613,0.276,0.518,0.103,-13.053,0.103,0.295,84.963
Lofi Soul Beat - Instrumental,0.0527,0.71,0.281,0.308,0.134,-13.2,0.0997,0.138,82.062
Study Music Guitar - Lo fi Beat,0.794,0.863,0.316,0.908,0.114,-16.378,0.297,0.95,150.099
Jazz Music Piano & Coffee - Instrumental,0.932,0.837,0.287,0.832,0.316,-17.377,0.703,0.979,154.159
Hip Hop Winter - Lofi Instrumental Beat,0.867,0.622,0.548,0.0255,0.298,-5.097,0.367,0.418,83.962
Study To Sleep (Jazzhop),0.752,0.708,0.273,0.877,0.148,-12.178,0.391,0.429,85.594
Rain (Instrumental Beat),0.935,0.604,0.215,0.673,0.118,-13.31,0.156,0.636,78.193
Anime Morning Sky,0.255,0.746,0.279,0.564,0.18,-11.781,0.0581,0.42,80.07
Wake Up In The Sky (Chillhop Beat),0.762,0.712,0.36,0.781,0.0928,-11.749,0.13,0.539,85.059
Lofi Futbol,0.762,0.75,0.486,0.442,0.392,-12.373,0.452,0.879,80.072
Sad & Low (Lofi Beat),0.545,0.701,0.137,0.893,0.119,-13.894,0.038,0.4,130.297
Nights,0.309,0.696,0.187,0.945,0.153,-11.628,0.0692,0.464,155.88
Exam Samurai,0.82,0.531,0.33,0.87,0.216,-9.818,0.0433,0.403,130.241
Lo-fi Slow Dance (Beat Instrumental),0.538,0.428,0.222,0.961,0.114,-16.052,0.0347,0.257,108.587
Sunshine & Coffee,0.264,0.653,0.176,0.907,0.108,-14.124,0.0616,0.593,140.014
Chill Morning Beat,0.766,0.744,0.276,0.887,0.0831,-16.774,0.0484,0.364,77.992
Lofi Insomnia,0.456,0.469,0.408,0.841,0.0863,-13.934,0.0364,0.661,99.958
Jazzhop,0.5,0.673,0.536,0.95,0.638,-7.078,0.142,0.197,156.002
Lofi Coffee,0.73,0.543,0.379,0.707,0.0967,-6.413,0.116,0.247,159.588
Anime Theme Beat,0.844,0.292,0.505,0.877,0.11,-12.345,0.0523,0.229,74.928
Chillhop Summer,0.946,0.639,0.364,0.537,0.32,-8.378,0.0956,0.517,86.941
Sad Lofi Hip Hop - Instrumental Beat,0.992,0.424,0.319,0.944,0.109,-11.437,0.0502,0.411,74.342
Chill Out - RPG Gaming Beat,0.65,0.729,0.228,0.892,0.126,-17.336,0.0579,0.691,173.953
Background Lofi - Instrumental,0.917,0.866,0.343,0.946,0.122,-14.582,0.12,0.447,130.016
Sad Lofi - Instrumental,0.333,0.594,0.207,0.602,0.113,-15.78,0.0435,0.394,138.01
Depression,0.0155,0.628,0.559,0.911,0.555,-5.166,0.0893,0.646,84.989
Jazzhop Sunset,0.945,0.439,0.273,0.898,0.131,-13.829,0.106,0.345,80.015
Lo-Fi Piano & Harp - Instrumental,0.0168,0.759,0.361,0.858,0.0825,-11.416,0.129,0.695,159.916
Toronto Lofi Vibes,0.962,0.594,0.463,0.971,0.078,-7.394,0.397,0.371,74.877
Retro Anime Beat,0.0361,0.848,0.47,0.183,0.246,-9.797,0.357,0.986,74.99
Sleep Potion,0.825,0.606,0.319,0.701,0.144,-13.562,0.0487,0.743,75.029
Rain Hop - Instrumental Lofi,0.00349,0.858,0.264,0.915,0.108,-12.662,0.0616,0.0605,79.966
Get High,0.748,0.775,0.309,0.528,0.0855,-15.607,0.0813,0.587,74.999
Anxiety Falls,0.946,0.484,0.402,0.0275,0.148,-13.361,0.429,0.107,69.849
Unhappy,0.936,0.689,0.185,0.745,0.106,-19.269,0.11,0.268,78.06
Dream of Love,0.937,0.657,0.283,0.686,0.101,-15.589,0.113,0.189,80.006
Lo-Fi Love Song - Instrumental,0.937,0.717,0.529,0.862,0.25,-6.313,0.152,0.435,75.056
Sad Chill Beat - Instrumental,0.966,0.699,0.553,0.654,0.111,-5.972,0.043,0.202,80.145
Lofi Skate Beat - Instrumental,0.733,0.496,0.274,0.516,0.351,-17.564,0.207,0.704,142.832
Alone & Sad - Lo-fi Beat Instrumental,0.904,0.399,0.575,0.83,0.124,-7.556,0.227,0.172,89.481
Chill Piano Beat - Instrumental,0.409,0.529,0.665,0.266,0.117,-7.634,0.0963,0.305,83.313
Hip-Hop Beat Guitar - Instrumental,0.852,0.573,0.42,0.916,0.111,-10.766,0.0403,0.619,81.895
Study Beats Love - Instrumental,0.936,0.687,0.646,0.00524,0.127,-7.989,0.26,0.618,156.03
Lo fi Hip Hop & Chill - Beat Instrumental,0.513,0.787,0.508,0.892,0.156,-12.641,0.233,0.454,80.024
Jazzhop Piano Beat - Instrumental,0.807,0.721,0.433,0.867,0.0507,-11.73,0.112,0.585,150.073
Sleep Music Relax - Lofi Beat Instrumental,0.928,0.489,0.534,0.946,0.595,-9.638,0.104,0.411,76.136
Lofi Love (Instrumental),0.937,0.761,0.354,0.712,0.142,-18.799,0.0442,0.564,120.03
Relaxing Read (Instrumental),0.956,0.516,0.234,0.852,0.0869,-15.746,0.0314,0.188,130.034
Deep Thought (Instrumental),0.921,0.806,0.34,0.927,0.182,-14.381,0.421,0.22,115.166
Chill Party (Instrumental,0.965,0.569,0.457,0.887,0.135,-13.695,0.0601,0.713,109.872
Lofi Jazz Club (Instrumental),0.472,0.662,0.222,0.00151,0.104,-19.39,0.0885,0.173,60.023
Thinking Hard (Instrumental),0.79,0.55,0.718,0.927,0.147,-12.452,0.0445,0.366,169.542
Beach Study (Instrumental),0.833,0.762,0.283,0.886,0.13,-16.622,0.159,0.674,121.947
Chill Study Sleep (Instrumental),0.782,0.676,0.247,0.709,0.102,-18.003,0.0475,0.282,158.003
Lofi Avenue (Instrumental),0.821,0.523,0.431,0.0573,0.184,-9.164,0.122,0.486,78.821
Hip Hop Lullaby (Instrumental),0.22,0.595,0.416,0.884,0.363,-13.23,0.0431,0.78,80.029
Jazz Hop Beat (Instrumental),0.927,0.7,0.353,0.729,0.28,-10.779,0.0716,0.57,169.975
Rain Storm (Instrumental),0.737,0.763,0.34,0.18,0.128,-9.944,0.037,0.642,83
Spanish Guitar (Instrumental),0.956,0.71,0.437,0.00345,0.528,-12.673,0.508,0.611,79.958
Super Tuesday (Instrumental),0.928,0.897,0.353,0.902,0.101,-12.812,0.45,0.672,84.011
Lofi Samurai (Instrumental),0.923,0.699,0.389,0.628,0.0718,-13.409,0.0562,0.333,83.032
