track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Lofi Soulful Tokyo - Chillhop Sleep,0.989,0.5,0.426,0.587,0.11,-10.07,0.0436,0.663,76.117
Chilled Out - Lofi Chill Beat,0.753,0.751,0.305,0.685,0.23,-8.927,0.0391,0.336,87.963
Midnight Study & Sleep - Lo-fi Sleep,0.993,0.625,0.0452,0.938,0.108,-14.632,0.0319,0.0929,73.036
Upbeat Lofi - Hip-Hop Beat Instrumental,0.207,0.798,0.555,0.933,0.108,-9.309,0.447,0.72,169.948
Lo-fi Classic Rock - Lofi Hip Hop Remix,0.563,0.861,0.396,0.000283,0.115,-10.958,0.0625,0.698,78.011
Look At the Sky,0.47,0.493,0.345,0.972,0.315,-10.673,0.0281,0.0953,107.049
Lil Tokyo,0.929,0.675,0.488,0.844,0.123,-9.56,0.0722,0.0386,90.062
Howls,0.795,0.62,0.412,0.913,0.108,-12.497,0.105,0.293,180.023
New Home,0.693,0.705,0.653,0.671,0.245,-9.698,0.419,0.581,174.062
Galaxy Mode,0.467,0.734,0.327,0.884,0.111,-12.936,0.151,0.133,91.977
Lofi Emeralds,0.979,0.625,0.184,0.91,0.11,-11.606,0.151,0.394,79.813
Cherry Blossoms,0.922,0.625,0.458,0.688,0.36,-8.339,0.113,0.523,76.981
Rain Is the Cure,0.718,0.333,0.427,0.771,0.139,-10.101,0.266,0.157,169.224
Meet Me By the Crystal Lake,0.626,0.603,0.569,0.728,0.307,-6.852,0.0719,0.196,84.008
Take Me Home,0.634,0.674,0.72,0.84,0.149,-8.25,0.53,0.262,168.095
Amaryllis,0.821,0.632,0.182,0.915,0.107,-14.225,0.0448,0.564,93.098
Uluwatu Sunrise,0.712,0.918,0.401,0.832,0.107,-9.892,0.13,0.732,89.966
Lofi Lilly,0.972,0.615,0.284,0.927,0.102,-17.94,0.0464,0.852,116.916
Alpine Daydream,0.823,0.602,0.596,0.886,0.104,-8.543,0.0338,0.657,179.98
Nightshade Beat,0.223,0.747,0.518,0.692,0.207,-10.334,0.0501,0.62,95.991
I Love You to the Moon and Back,0.193,0.695,0.453,0.215,0.154,-11.7,0.364,0.232,90.033
Lofi Slowdance On Jupiter,0.716,0.29,0.397,0.948,0.409,-8.921,0.0506,0.253,117.159
Moon Landings,0.876,0.757,0.367,0.481,0.129,-7.618,0.205,0.417,90.114
Don't Know What 2 Say,0.753,0.716,0.413,0.0121,0.121,-8.985,0.071,0.517,119.948
Lofi Cloud,0.792,0.717,0.363,0.894,0.119,-13.825,0.0451,0.369,96.047
quiet atmosphere,0.835,0.741,0.253,0.355,0.1,-13.301,0.219,0.354,149.957
Relaxing Hip Hop,0.653,0.837,0.827,0.852,0.11,-6.347,0.0762,0.124,79.983
Inspirational beat,0.594,0.76,0.188,0.849,0.271,-21.554,0.0598,0.82,148.014
Starry Night,0.787,0.781,0.299,0.866,0.0969,-11.599,0.505,0.555,84.91
Glory,0.933,0.615,0.473,0.951,0.878,-9.459,0.0345,0.237,127.962
string beat,0.963,0.722,0.149,0.935,0.0877,-12.051,0.0499,0.254,79.976
Celestials,0.0698,0.729,0.28,0.931,0.0925,-11.827,0.0545,0.422,138.017
Hip Hop Guitar,0.229,0.747,0.572,0.659,0.0806,-7.844,0.112,0.451,96.017
nostalgia,0.888,0.68,0.229,0.151,0.0527,-12.519,0.0362,0.109,93.453
Opaque guitar,0.961,0.238,0.111,0.926,0.105,-34.017,0.0401,0.316,84.559
Cold night,0.913,0.612,0.205,0.87,0.135,-24.128,0.0288,0.455,138.005
good morning,0.954,0.408,0.405,0.927,0.228,-6.008,0.0404,0.0864,180.05
Drum sound,0.0038,0.745,0.346,0.864,0.081,-14.61,0.144,0.299,90.998
LoFi Beat,0.042,0.736,0.427,0.908,0.108,-16.772,0.0488,0.0389,138.315
Chill Beat,0.939,0.727,0.0374,0.938,0.111,-16.596,0.0744,0.114,79.993
Lofi Chill Cow Girl,0.987,0.68,0.578,0.925,0.223,-17.843,0.552,0.164,180.168
Lonely Lofi Cow,0.917,0.725,0.132,0.857,0.105,-22.584,0.118,0.419,90.04
Lets Fly Together Lofi,0.891,0.73,0.369,0.879,0.109,-17.556,0.051,0.597,89.998
Lofi Chowder Clemense,0.0349,0.6,0.387,0.958,0.106,-16.032,0.0412,0.224,90.016
In My Feels Lofi,0.925,0.648,0.296,0.766,0.137,-15.601,0.0597,0.576,90.033
Please Babe Breath,0.437,0.727,0.173,0.862,0.0734,-16.504,0.0623,0.603,74.985
In The Woodlands,0.802,0.778,0.556,0.884,0.111,-10.118,0.106,0.751,149.833
Electric Guitar Lofi,0.694,0.677,0.303,0.905,0.108,-16.352,0.0633,0.384,74.985
The Peru Life Lofi,0.81,0.676,0.356,0.796,0.107,-13.305,0.0361,0.606,92.986
Lofi Lost In Flowers,0.94,0.461,0.288,0.923,0.106,-14.488,0.0337,0.811,132.251
Calm down please,0.761,0.684,0.246,0.906,0.129,-16.877,0.0315,0.0422,89.987
Letting go of the nerves,0.653,0.397,0.331,0.0374,0.136,-13.384,0.305,0.236,90.914
From my room,0.763,0.7,0.155,0.856,0.0896,-15.954,0.0933,0.419,180.139
Free spirit,0.911,0.685,0.275,0.448,0.104,-16.925,0.0592,0.118,128.168
ready for sleeping,0.95,0.482,0.0323,0.946,0.185,-29.245,0.035,0.101,106.98
Injection against war,0.887,0.656,0.134,0.756,0.122,-21.742,0.0373,0.12,154.084
Soothing,0.895,0.801,0.092,0.931,0.0815,-16.979,0.331,0.482,75.084
relaxed mind,0.344,0.763,0.286,0.894,0.0912,-15.711,0.0651,0.168,77.997
Pass me the filin,0.427,0.729,0.288,0.708,0.12,-11.477,0.0644,0.387,160.257
No one will steal my peace,0.897,0.809,0.221,0.879,0.0985,-11.113,0.0538,0.344,95.033
Sound to relax,0.524,0.489,0.293,0.569,0.102,-18.31,0.146,0.198,180.177
passive atmosphere,0.701,0.796,0.386,0.921,0.193,-12.467,0.23,0.636,89.999
Total peace of mind,0.536,0.682,0.273,0.917,0.0954,-17.157,0.0725,0.481,79.993
peaceful environment,0.872,0.797,0.232,0.24,0.128,-19.813,0.0413,0.165,95.085
